person  ,year  ,statecode  ,race  ,gender  ,age  ,Education  ,Food  ,Beauty  ,Health
1,2020,11,White  ,Male  ,16,539.7,500.3,46.48,214.55
2,2020,11,Asian  ,Male  ,16,625.2,486.8,53.63,267.7
3,2020,11,White  ,Male  ,18,583.3,536.4,50.41,272.8
4,2020,11,Asian  ,Female  ,19,501.9,626.8,50.16,231.4
5,2020,11,Black  ,Male  ,23,431.2,517.1,56.76,266.4
6,2020,11,Black  ,Female  ,17,466.3,611.3,59.81,240.25
7,2020,11,Asian  ,Male  ,16,347.2,435.1,44.12,206.6
8,2020,11,HispLatinos  ,Female  ,16,457.3,475.1,46.78,258.25
9,2020,11,Black  ,Female  ,19,383.3,414.3,48.76,190.3
10,2020,11,Asian  ,Male  ,22,396.5,418.6,38.36,263.4
11,2020,11,Asian  ,Female  ,16,448.8,461.2,47.12,242.7
12,2020,11,White  ,Female  ,16,612.5,552.6,60.91,284.45
13,2020,11,Asian  ,Male  ,17,593.4,519.5,56.7,222.25
14,2020,11,Asian  ,Female  ,22,449.1,488.4,47.97,206.15
15,2020,11,Asian  ,Female  ,19,540.1,657,66.82,312.15
16,2020,11,Asian  ,Male  ,19,680.4,487,61.52,280.4
17,2020,11,White  ,Female  ,18,415.5,475.3,35.19,209.35
18,2020,11,Asian  ,Male  ,20,378,490.6,39.41,273.05
19,2020,11,White  ,Male  ,16,542,552.9,59.29,273.45
20,2020,11,Asian  ,Female  ,16,397.9,422,51.16,188.35
21,2020,11,Asian  ,Female  ,22,627.9,525.8,59.34,265.4
22,2020,11,White  ,Male  ,19,631.6,563.2,60.93,300.5
23,2020,11,Asian  ,Female  ,19,467.9,545.4,56.46,261.5
24,2020,11,White  ,Male  ,16,616,537.7,56.15,255
25,2020,11,Asian  ,Male  ,18,463.3,537.2,46.48,259.7
26,2020,11,Asian  ,Female  ,16,355,415.1,42.93,208.85
27,2020,11,Asian  ,Female  ,17,584.9,596.9,58.73,296
28,2020,11,Asian  ,Male  ,17,540,574.2,60.61,199.25
29,2020,11,Asian  ,Female  ,18,454.5,452.1,44.56,220.7
30,2020,11,Black  ,Female  ,18,695.1,543.5,64.39,290.5
31,2020,11,Asian  ,Male  ,19,649.5,567.2,63.03,306.45
32,2020,11,Asian  ,Female  ,17,450.6,499.4,49.38,275.7
33,2020,11,Asian  ,Female  ,20,383.1,331.7,36.56,257.75
34,2020,11,Black  ,Female  ,18,391.1,545.6,51.43,222.3
35,2020,11,White  ,Female  ,17,332.9,526.8,42.67,239.4
36,2020,11,Black  ,Male  ,16,495.3,524.6,51.72,256.3
37,2020,11,Asian  ,Female  ,18,464.9,551.5,47.94,228.9
38,2020,11,Black  ,Female  ,19,493.7,615.3,56.26,250
39,2020,11,White  ,Female  ,19,544.6,595.3,45.59,274.95
40,2020,11,Asian  ,Female  ,18,433.2,570.4,56.02,263.75
41,2020,11,Asian  ,Female  ,20,392.7,500.7,49.66,231.5
42,2020,11,Black  ,Female  ,22,424.7,396,51.58,262.8
43,2020,11,Asian  ,Female  ,18,389.1,439.7,48.56,229.4
44,2020,11,Black  ,Male  ,24,440.9,472.2,48.92,205.5
45,2020,11,Asian  ,Female  ,21,505.4,487.2,40.1,190.1
46,2020,11,White  ,Female  ,16,438.1,426.9,52.88,200.15
47,2020,11,Black  ,Female  ,19,410.1,459.7,49.09,250.1
48,2020,11,White  ,Female  ,23,678.7,568.4,59.57,291.75
49,2020,11,White  ,Female  ,17,408.9,545.2,50.82,223.8
50,2020,11,Asian  ,Male  ,21,637.8,470.7,37.97,248.95
51,2020,11,Asian  ,Female  ,19,481.8,387.2,40.65,214.45
52,2020,11,Asian  ,Male  ,18,479.7,417.2,51.94,241.3
53,2020,11,Black  ,Male  ,16,496.1,505.2,49.71,231.65
54,2020,11,Asian  ,Male  ,19,548.7,480.3,46.09,255.8
55,2020,11,Asian  ,Male  ,18,416.9,451.3,43.12,210.8
56,2020,11,Asian  ,Male  ,18,549.1,613,43.66,270.1
57,2020,11,Asian  ,Female  ,18,618.5,499.6,51.38,231.15
58,2020,11,Asian  ,Female  ,18,577.3,599.9,42.37,246.5
59,2020,11,Black  ,Male  ,16,353.3,576.8,35.43,268.8
60,2020,11,Asian  ,Male  ,24,540.5,461.9,37.55,267.45
61,2020,11,White  ,Female  ,17,565.1,649.9,61.06,262.15
62,2020,11,Asian  ,Female  ,18,380.5,501.1,52.68,219.05
63,2020,11,Asian  ,Female  ,16,412.4,433.1,50.04,196.85
64,2020,11,Black  ,Male  ,18,498.3,504.8,53.13,224.3
65,2020,11,White  ,Male  ,19,633.1,583.6,59.32,289.25
66,2020,11,Asian  ,Male  ,17,472.9,472.3,38.65,211.65
67,2020,11,White  ,Female  ,20,355.5,478.3,45.05,225.65
68,2020,11,Asian  ,Female  ,16,468.3,481.9,42.71,200.25
69,2020,11,White  ,Female  ,16,334.4,485.4,54.65,235.95
70,2020,11,Asian  ,Female  ,19,393.1,345.3,42.33,205.1
71,2020,11,Asian  ,Female  ,18,682.4,579.2,61.87,310.55
72,2020,11,Asian  ,Male  ,16,544.6,562.3,58.95,283.15
73,2020,11,Asian  ,Female  ,16,388.3,553.5,51.19,206.45
74,2020,11,Asian  ,Female  ,17,621.5,547.7,60.31,253.3
75,2020,11,White  ,Female  ,16,589.4,491.3,46.8,261.35
